state,county,party_x,DEM_votes,party_y,REP_votes
Indiana,Tipton,REP,6110,DEM,1834
Indiana,Union,REP,2687,DEM,736
Indiana,Vanderburgh,REP,41838,DEM,34404
Indiana,Vermillion,REP,5184,DEM,2145
Indiana,Vigo,REP,24512,DEM,18080
Indiana,Wabash,REP,10762,DEM,3494
Indiana,Warren,REP,3401,DEM,974
Indiana,Warrick,REP,21324,DEM,11919
Indiana,Washington,REP,9114,DEM,2784
Indiana,Wayne,REP,17567,DEM,9524
Indiana,Wells,REP,10855,DEM,2928
Indiana,White,REP,7957,DEM,3032
Indiana,Whitley,REP,12856,DEM,4233
Iowa,Adair,REP,2917,DEM,1197
Iowa,Adams,REP,1528,DEM,590
Iowa,Allamakee,REP,4733,DEM,2575
Iowa,Appanoose,REP,4512,DEM,1891
Iowa,Audubon,REP,2295,DEM,1071
Iowa,Benton,REP,9179,DEM,5156
Iowa,Black Hawk,REP,29623,DEM,35621
Iowa,Boone,REP,8695,DEM,6303
Iowa,Bremer,REP,8287,DEM,5954
Iowa,Buchanan,REP,6420,DEM,4169
Iowa,Buena Vista,REP,5004,DEM,2919
Iowa,Butler,REP,5542,DEM,2424
Iowa,Calhoun,REP,3689,DEM,1470
Iowa,Carroll,REP,7737,DEM,3454
Iowa,Cass,REP,4969,DEM,2201
Iowa,Cedar,REP,6161,DEM,4337
Iowa,Cerro Gordo,REP,12435,DEM,10941
Iowa,Cherokee,REP,4495,DEM,1936
Iowa,Chickasaw,REP,4308,DEM,2233
Iowa,Clarke,REP,3140,DEM,1466
Iowa,Clay,REP,6137,DEM,2662
Iowa,Clayton,REP,6106,DEM,3340
Iowa,Clinton,REP,13349,DEM,10806
Iowa,Crawford,REP,4854,DEM,2220
Iowa,Dallas,REP,27987,DEM,26879
Iowa,Davis,REP,3032,DEM,1013
Iowa,Decatur,REP,2615,DEM,1120
Iowa,Delaware,REP,6666,DEM,3157
Iowa,Des Moines,REP,10589,DEM,8887
Iowa,Dickinson,REP,7438,DEM,3661
Iowa,Dubuque,REP,27214,DEM,25655
Iowa,Emmet,REP,3265,DEM,1520
Iowa,Fayette,REP,6145,DEM,3834
Iowa,Floyd,REP,4730,DEM,3168
Iowa,Franklin,REP,3422,DEM,1626
Iowa,Fremont,REP,2711,DEM,1078
Iowa,Greene,REP,3221,DEM,1768
Iowa,Grundy,REP,4929,DEM,2206
Iowa,Guthrie,REP,4272,DEM,1985
Iowa,Hamilton,REP,4956,DEM,2842
Iowa,Hancock,REP,4390,DEM,1683
Iowa,Hardin,REP,5850,DEM,2976
Iowa,Harrison,REP,5569,DEM,2440
Iowa,Henry,REP,6507,DEM,3275
Iowa,Howard,REP,3127,DEM,1772
Iowa,Humboldt,REP,3819,DEM,1442
Iowa,Ida,REP,2876,DEM,917
Iowa,Iowa,REP,6009,DEM,3547
Iowa,Jackson,REP,6940,DEM,4029
Iowa,Jasper,REP,12082,DEM,7737
Iowa,Jefferson,REP,4442,DEM,4314
Iowa,Johnson,REP,22925,DEM,59177
Iowa,Jones,REP,6572,DEM,4213
Iowa,Keokuk,REP,3797,DEM,1414
Iowa,Kossuth,REP,6275,DEM,2696
Iowa,Lee,REP,9763,DEM,6539
Iowa,Linn,REP,53098,DEM,70451
Iowa,Louisa,REP,3500,DEM,1726
Iowa,Lucas,REP,3287,DEM,1284
Iowa,Lyon,REP,5707,DEM,1067
Iowa,Madison,REP,6507,DEM,3134
Iowa,Mahaska,REP,8297,DEM,2894
Iowa,Marion,REP,12657,DEM,6170
Iowa,Marshall,REP,9564,DEM,8171
Iowa,Mills,REP,5572,DEM,2500
Iowa,Mitchell,REP,3677,DEM,2053
Iowa,Monona,REP,3248,DEM,1407
Iowa,Monroe,REP,2975,DEM,1078
Iowa,Montgomery,REP,3659,DEM,1583
Iowa,Muscatine,REP,10823,DEM,9372
Iowa,O'Brien,REP,5861,DEM,1569
Iowa,Osceola,REP,2688,DEM,600
Iowa,Page,REP,5319,DEM,2086
Iowa,Palo Alto,REP,3370,DEM,1519
Iowa,Plymouth,REP,10492,DEM,3494
Iowa,Pocahontas,REP,2825,DEM,932
Iowa,Polk,REP,106800,DEM,146250
Iowa,Pottawattamie,REP,26241,DEM,18570
Iowa,Poweshiek,REP,5657,DEM,4306
Iowa,Ringgold,REP,1964,DEM,708
Iowa,Sac,REP,4061,DEM,1389
Iowa,Scott,REP,43661,DEM,46890
Iowa,Shelby,REP,4697,DEM,1959
Iowa,Sioux,REP,15680,DEM,3019
Iowa,Story,REP,20340,DEM,29175
Iowa,Tama,REP,5303,DEM,3577
Iowa,Taylor,REP,2463,DEM,746
Iowa,Union,REP,4010,DEM,2061
Iowa,Van Buren,REP,2859,DEM,875
Iowa,Wapello,REP,9516,DEM,5821
